(S)-Methylmalonyl-CoA,Intermediate
3-Oxoheptanoyl-CoA,Intermediate
3-methyl-Decane,Target
3R-3-Hydroxypentanoyl-CoA,Intermediate
5-Acetoacetyl-CoA,Intermediate
8-methyl-3-Oxononanoyl-CoA,Intermediate
8-methyl-3-Oxoundecanoyl-CoA,Intermediate
8-methyl-Nonanoyl-CoA,Intermediate
8-methyl-S-Hydroxynonanoyl-CoA,Intermediate
8-methyl-S-Hydroxyundecanoyl-CoA,Intermediate
8-methyl-Undecane,Intermediate
8-methyl-Undecanoyl-CoA,Intermediate
8-methyl-trans-non-2-enoyl-CoA,Intermediate
8-methyl-trans-undec-2-enoyl-CoA,Intermediate
ADP,Input/Output
ATP,Input
Acetyl-CoA,Input/Output
CO2,Input/Output
CoA,Input/Output
H2O,Input/Output
HCO3-,Intermediate
Heptanoyl-CoA,Intermediate
Hplus,Input/Output
Malonyl-CoA,Intermediate
NADH,Input
NADPH,Intermediate
NADPplus,Input/Output
NADplus,Input/Output
Orthophosphate,Input/Output
Pent-2-enoyl-CoA,Intermediate
Pentanoyl-CoA,Intermediate
Propionyl-CoA,Input/Output
S-Hydroxyheptanoyl-CoA,Intermediate
trans-hept-2-enoyl-CoA,Intermediate
Oxygen,Input/Output
Formate,Intermediate
8-methyl-Undecanal,Intermediate
