"(S)-Methylmalonyl-CoA",Intermediate
"3-methyl-Hexane",Target
"3R-4-methyl-3-Hydroxypentanoyl-CoA",Intermediate
"4-methyl-Heptanoic acid",Intermediate
"4-methyl-Heptanoyl-CoA",Intermediate
"4-methyl-Oxoheptanoyl-CoA",Intermediate
"4-methyl-Pent-2-enoyl-CoA",Intermediate
"4-methyl-Pentanoyl-CoA",Intermediate
"4-methyl-trans-hept-2-enoyl-CoA",Intermediate
"5-4-methyl-Acetoacetyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetyl-CoA",Input
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Intermediate
"NADplus",Input/Output
"Orthophosphate",Input/Output
"Propionyl-CoA",Input
"S-4-methyl-Hydroxyheptanoyl-CoA",Intermediate
Oxygen,Input/Output
Formate,Intermediate
4-methyl-Heptanal,Intermediate
