,(S)-Methylmalonyl-CoA,3-Oxoheptanoyl-CoA,3-methyl-Decane,3R-3-Hydroxypentanoyl-CoA,5-Acetoacetyl-CoA,8-methyl-3-Oxononanoyl-CoA,8-methyl-3-Oxoundecanoyl-CoA,8-methyl-Nonanoyl-CoA,8-methyl-S-Hydroxynonanoyl-CoA,8-methyl-S-Hydroxyundecanoyl-CoA,8-methyl-Undecanal,8-methyl-Undecanoyl-CoA,8-methyl-trans-non-2-enoyl-CoA,8-methyl-trans-undec-2-enoyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Heptanoyl-CoA,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Oxygen,Pent-2-enoyl-CoA,Pentanoyl-CoA,Propionyl-CoA,Pyruvate,S-Hydroxyheptanoyl-CoA,trans-hept-2-enoyl-CoA,
,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-2,-1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,0,0,,
3*CO2 + 14*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,-3,-1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,1,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ATP + Propionyl-CoA + HCO3- → ADP + Orthophosphate + (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
Propionyl-CoA + Malonyl-CoA → 5-Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,,
5-Acetoacetyl-CoA + NADPH + Hplus → 3R-3-Hydroxypentanoyl-CoA + NADPplus,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
3R-3-Hydroxypentanoyl-CoA → Pent-2-enoyl-CoA + H2O,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Pent-2-enoyl-CoA + NADPH + Hplus → Pentanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,-1,1,0,0,0,0,,
