,(S)-Methylmalonyl-CoA,3-methyl-Acetoacetyl-CoA,3-methyl-But-2-enoyl-CoA,3-methyl-Butanoyl-CoA,3-methyl-Hexanal,3-methyl-Hexanoyl-CoA,3-methyl-Oxohexanoyl-CoA,3-methyl-Pentane,3-methyl-trans-hex-2-enoyl-CoA,3R-3-methyl-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Oxygen,Propionyl-CoA,Pyruvate,S-3-methyl-Hydroxyhexanoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Input/Output,Intermediate,Input,Intermediate,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,-7,1,-2,-1,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,-7,0,-3,0,0,0,0,0,0,-5,0,0,0,0,0,0,1,0,,
3*CO2 + 14*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,-14,0,-3,-1,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,,
ATP + Propionyl-CoA + HCO3- → ADP + Orthophosphate + (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,,
Acetyl-CoA + (S)-Methylmalonyl-CoA → 3-methyl-Acetoacetyl-CoA + CO2 + CoA,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-methyl-Acetoacetyl-CoA + NADPH + Hplus → 3R-3-methyl-3-Hydroxybutanoyl-CoA + NADPplus,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
3R-3-methyl-3-Hydroxybutanoyl-CoA → 3-methyl-But-2-enoyl-CoA + H2O,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
3-methyl-But-2-enoyl-CoA + NADPH + Hplus → 3-methyl-Butanoyl-CoA + NADPplus,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
Malonyl-CoA + 3-methyl-Butanoyl-CoA → CoA + CO2 + 3-methyl-Oxohexanoyl-CoA,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,
3-methyl-Oxohexanoyl-CoA + NADH + Hplus → S-3-methyl-Hydroxyhexanoyl-CoA + NADplus,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,1,,
S-3-methyl-Hydroxyhexanoyl-CoA → 3-methyl-trans-hex-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,
3-methyl-trans-hex-2-enoyl-CoA + NADPH + Hplus → 3-methyl-Hexanoyl-CoA + NADPplus,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
3-methyl-Hexanoyl-CoA + NADH + Hplus → CoA + 3-methyl-Hexanal + NADplus,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,,
3-methyl-Hexanal + Oxygen + 2*NADPH + 2*Hplus → 3-methyl-Pentane + Formate + H2O + 2*NADPplus,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,1,0,-2,0,0,-2,2,0,0,-1,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,,
